Test Case ID,Test Scenario Description,Test Case Description,Pre-Conditions,Steps,Test Data,Expected Output,Actual Output,Status,Comments
TS_116,Prevent Past Date,Try selecting past date,Homepage Url: https://phptravels.net/,1. Open Check-in calendar2. Try selecting 10 May (past date),10 May,Past dates disabled/unselectable,Past date disabled,Pass,Validation
TS_117,Navigate to Next Month,Verify next month navigation on calendar,Homepage Url: https://phptravels.net/,1. Open Check-in calendar2. Click next month icon,June,Next month dates shown,Next month shown,Pass,Navigation
TS_118,Keyboard Access,Navigate calendar using keyboard,Homepage Url: https://phptravels.net/,1. Focus Check-in field2. Use arrow keys to navigate3. Press Enter to select,Arrow keys + Enter,Date selected using keyboard,Keyboard selection works,Pass,Accessibility
TS_119,Calendar Field Visible,Verify Check-out date field is visible,Hotel tab is active,Locate Check-out date field,N/A,Check-out date field is visible,As expected,Pass,UI check
TS_120,Open Calendar,Verify calendar opens on clicking Check-out,Hotel tab is active,Click Check-out date field,N/A,Calendar popup opens,As expected,Pass,Functional
TS_121,Select Valid Date,Select a valid date later than Check-in date,Check-in date selected as 25 May,Open calendar → Select 28 May,28 May,Date selected and shown in Check-out field,As expected,Pass,Functional
TS_122,Prevent Past Date Selection,Prevent selecting a date before Check-in date,Check-in date is 25 May,Open calendar → Attempt to select 20 May,20 May,Dates before 25 May are disabled/unselectable,As expected,Pass,Validation
TS_123,Prevent Same Day Check-out,Prevent selecting same day as check-in for check-out,Check-in date is 25 May,Open calendar → Try selecting 25 May,25 May,Same day date is disabled or error shown,As expected,Pass,Validation
TS_124,Navigate to Next Month,Check navigation to next month,Calendar open,Click next month icon,June,Calendar shows dates of next month,As expected,Pass,Navigation
TS_125,Keyboard Navigation,Navigate calendar using keyboard keys,Calendar open,Use arrow keys + Enter to select date,Arrow keys + Enter,Date is selected via keyboard,As expected,Pass,Accessibility
TS_126,Auto-close on Selection,Calendar closes after selecting date,Calendar open,Select valid Check-out date,28 May,Calendar closes automatically after select,As expected,Pass,UX behavior
TS_127,Rooms dropdown visible,Verify Rooms dropdown is visible and clickable,Hotel tab active,Locate Rooms dropdown,N/A,Rooms dropdown visible and clickable,As expected,Pass,UI check
TS_128,Increase number of rooms,Verify user can increase rooms using '+' button,Rooms dropdown open,Click '+' button next to Rooms,Click 2 times,Number of rooms increments by 1 per click,As expected,Pass,Functional
TS_129,Decrease number of rooms,Verify user can decrease rooms using '-' button,Rooms > 1,Click '-' button next to Rooms,Click 1 time,"Number of rooms decreases by 1, min value = 1",As expected,Pass,Validation
TS_130,Minimum rooms limit,Verify Rooms cannot be decreased below 1,Rooms = 1,Click '-' button,N/A,"Rooms count remains 1, button disabled or no change",As expected,Pass,Validation
TS_131,Adults dropdown visible,Verify Adults dropdown is visible and clickable,Hotel tab active,Locate Adults dropdown,N/A,Adults dropdown visible and clickable,As expected,Pass,UI check
TS_132,Increase number of adults,Verify '+' button increases adults,Adults count < max,Click '+' button next to Adults,Click 3 times,"Adults count increases by 1 per click, max limit respected",As expected,Pass,Functional
TS_133,Decrease number of adults,Verify '-' button decreases adults,Adults count > min,Click '-' button next to Adults,Click 2 times,"Adults count decreases by 1 per click, min = 1",As expected,Pass,Validation
TS_134,Minimum adults limit,Verify Adults cannot go below 1,Adults = 1,Click '-' button,N/A,"Adults count remains 1, button disabled or no change",As expected,Pass,Validation
TS_135,Children dropdown visible,Verify Children dropdown is visible and clickable,Hotel tab active,Locate Children dropdown,N/A,Children dropdown visible and clickable,As expected,Pass,UI check
TS_136,Increase number of children,Verify '+' button increases children,Children count < max,Click '+' button next to Children,Click 2 times,Children count increases by 1 per click,As expected,Pass,Functional
TS_137,Decrease number of children,Verify '-' button decreases children,Children count > 0,Click '-' button next to Children,Click 1 time,"Children count decreases by 1 per click, min = 0",As expected,Pass,Validation
TS_138,Minimum children limit,Verify Children cannot go below 0,Children = 0,Click '-' button,N/A,"Children count remains 0, button disabled or no change",As expected,Pass,Validation
TS_139,Nationality dropdown visible,Verify Nationality dropdown is visible and clickable,Hotel tab active,Locate Nationality dropdown,N/A,Nationality dropdown visible and clickable,As expected,Pass,UI check
TS_140,Select nationality,Verify user can select a nationality,Nationality dropdown open,Click Nationality dropdown → Select “India”,“India”,Nationality field shows selected country,As expected,Pass,Functional
TS_141,Search with travellers and nationality,Verify hotel search works with selected travellers & nationality,Fill all other fields,"Select Rooms=2, Adults=3, Children=1, Nationality=India → Click Search","Rooms=2, Adults=3, Children=1, Nationality=India",Search results relevant to criteria are displayed,As expected,Pass,End to End
TS_142,Search button visible,Verify Search button is visible and enabled,Hotel/Flight tab open,Locate Search button on page,N/A,Search button is visible and enabled,As expected,Pass,UI check
TS_143,Search without input,Click Search button without filling mandatory fields,Hotel/Flight tab open,Click Search button without entering any data,Empty fields,Validation message displayed prompting input,As expected,Pass,Validation
TS_144,Search with valid inputs,Perform search with all valid inputs,"Hotel/Flight tab open, valid inputs entered",Fill all required fields → Click Search button,"Valid locations, dates, travellers",Search results page loads with relevant results,As expected,Pass,Functional
TS_145,Search with invalid dates,Perform search with invalid date selection,"Hotel/Flight tab open, invalid date inputs","Enter invalid dates (e.g., check-out before check-in) → Click Search",Invalid dates,Error message or no search results displayed,As expected,Pass,Validation
TS_146,Search button disables after click,Verify Search button disables to prevent multiple clicks,Valid inputs entered,Click Search button multiple times rapidly,Valid inputs,Button disables after first click until results load,As expected,Pass,UX behavior
TS_147,Search button triggers loading,Verify loading indicator appears on clicking Search,Valid inputs entered,Click Search button,Valid inputs,Loading spinner or progress indicator shown,As expected,Pass,UX behavior
TS_148,Search button accessibility,Verify Search button is accessible via keyboard,Hotel/Flight tab open,Tab to Search button → Press Enter/Space,N/A,Search action triggered via keyboard,As expected,Pass,Accessibility
